TimeStep,Macro_S1_Hub,Gap_S1_Hub,Macro_S2_Periph,Gap_S2_Periph,Macro_S3_Random,Gap_S3_Random
107,0.7815827065873964,0.018836522916109488,0.7657622358268529,0.04899848220124314,0.7541836518537423,-0.013633390615490848
108,0.7819808491456952,0.018120028571559033,0.7664150247325268,0.04970208118686714,0.7544484376195982,-0.014503682131018825
109,0.7816807150541103,0.018930360221730447,0.7663076252284414,0.04815541489470598,0.7543852895454549,-0.01561405352502554
110,0.7820755891683591,0.018265267777659133,0.766234714876002,0.047698054791035394,0.7544604424566341,-0.01777611464061324
111,0.7822427813958847,0.018616291043007327,0.7664640514221174,0.046993270340368154,0.7547808238546236,-0.018162052305961796
112,0.7825107370048218,0.019181026105694055,0.7670579705685419,0.045454833095225466,0.7549555912908923,-0.017354609267498322
113,0.7820723863599212,0.01940546343783478,0.7673985572463622,0.045526198970824217,0.7553123349121581,-0.017421992222884874
114,0.7819677976699384,0.01988747151216197,0.7678596589558612,0.045944736341368975,0.7555569395704013,-0.01880237986037958
115,0.7822390179292205,0.019433434619847256,0.7677678980514895,0.044507592043579236,0.7554011729182507,-0.018656998797647262
116,0.7823913300402678,0.019345537633528198,0.7679413826038876,0.0433875536093522,0.7557864601554909,-0.018731297832240812
117,0.7826917590982216,0.018617447247099905,0.7684947901166383,0.04358620714819639,0.7560315897839978,-0.01809222559877044
118,0.7827614964365784,0.017792071731927317,0.7687091339582977,0.04312162585874757,0.7567754162290653,-0.01859291401278207
119,0.7826201904605163,0.017969844555237313,0.7690789298371223,0.042324725509869654,0.7564186690008371,-0.016697272602331892
120,0.782689039738523,0.01807558914457419,0.7691964178204644,0.042875575241850594,0.7565040970637286,-0.01608213073830045
121,0.783151257699311,0.018098704728983117,0.7695312939039598,0.040877381050993145,0.7565410140010991,-0.016231261429643484
122,0.7836160755324372,0.0179522905181152,0.7701099240096366,0.03878440609433642,0.7570992679129278,-0.016598410255843854
123,0.7840349283993562,0.017035248830589045,0.7701013112795113,0.03864631077170144,0.7576106602971706,-0.016018703223427244
124,0.7838008272968092,0.01656515597643038,0.7706145755283786,0.03740247019087839,0.7577948626215522,-0.01604643112228621
125,0.7842678613862345,0.015540278513994199,0.7707607187749997,0.037570570170586626,0.7575394617919583,-0.01570097797720227
126,0.7843624394942977,0.014907949970504375,0.7702611396102106,0.03757434714617436,0.7576651455760128,-0.014472162739140315
127,0.7843333039651155,0.015216792290697279,0.7705147371007438,0.03586340391132248,0.7579558858564946,-0.014890733560966707
128,0.7840525499122236,0.015172348767584554,0.7705307876906022,0.03587516330656737,0.7580874685683732,-0.01646542540857243
129,0.783778177600896,0.015424822459375043,0.7711602197207571,0.03690880961917231,0.7577623282691487,-0.01587939873439337
130,0.7842257345327192,0.015590590068424781,0.7721033625537584,0.036184524618525504,0.7571900898865208,-0.016098314224379573
131,0.7839982355701857,0.016107273222020435,0.7720520147352717,0.03729859717949202,0.7570418781265973,-0.01618413353040482
132,0.7839343823124703,0.015929035978581196,0.7719781565032263,0.03778931255862583,0.7569735046031938,-0.015061027471407584
133,0.7842780852851475,0.015532187799278674,0.7724415664790015,0.03449251927754171,0.7570169128850545,-0.015559396237096013
134,0.7842759533721297,0.015150861555434991,0.7728619468640487,0.03380242829789659,0.7571745729177832,-0.015924445783944363
135,0.7845453096293361,0.014479268146210922,0.7729056874718083,0.03327879203905282,0.7570487157015303,-0.015033805143818024
136,0.784482464528207,0.014671199731617124,0.7726974550595782,0.03289078825937142,0.7574607734168171,-0.017055943435320797
137,0.784644893006089,0.013945450391053993,0.7727553771006981,0.033903555272053354,0.7577770101964687,-0.017648850788354653
138,0.7839645240437444,0.014320860141797342,0.772794046824867,0.03510933991785514,0.7578192438182754,-0.016748220125564095
139,0.7842616637893005,0.013568612241729006,0.7725283645966614,0.035736780727384065,0.7577072932590039,-0.015875704846194383
140,0.7848585372997348,0.012613527243259814,0.772980777255129,0.034525978433271654,0.7580923504681232,-0.014671369533443612
141,0.7851200208497193,0.01286918991216357,0.7733913539211735,0.03438958308598228,0.7582607349820856,-0.013912243030647087
142,0.7848626412072847,0.012248618747278006,0.7736293927113357,0.03519502433148147,0.7587216966451584,-0.013551151185507981
143,0.7849820966424297,0.012097445171920795,0.7740470692883156,0.03674347690803892,0.758382203712803,-0.01394102466162539
144,0.7846864079251064,0.012611416095396732,0.7740718678792117,0.03735950592234083,0.7582316149833157,-0.01519428763540498
145,0.7843895958950654,0.012668672682647819,0.7749411745439561,0.03766690866247291,0.7585261744324016,-0.01720199338670958
146,0.7840799360690918,0.013248357762861374,0.7751534607504129,0.037527051051572946,0.7586457081820026,-0.01741251984063319
147,0.7846154633677815,0.012504332955806663,0.7754712906348004,0.03796205324246282,0.7586212903130581,-0.01720726052554844
148,0.7845399134078885,0.01258544092562286,0.774980261578362,0.037439003893787515,0.759054335007074,-0.01813517584466573
149,0.7842918663880247,0.012354832448441266,0.7754491223186557,0.03823973411957904,0.7589239714683543,-0.016691340535764265
