TimeStep,Macro_t0,Gap_t0,Macro_t50,Gap_t50,Macro_t100,Gap_t100
51,0.7125007256207692,0.04830769324125994,0.6875457946880223,0.06767278094462192,0.7041615956771134,0.03947742934946097
52,0.7145829460173668,0.04798816285808427,0.6897088939657428,0.0657801398545389,0.7064203593617915,0.038096280964732276
53,0.716148127555565,0.04699433152159693,0.6915389825814173,0.06447036867864808,0.7078982146550297,0.03686330399027282
54,0.7177682065693507,0.046264650844433874,0.6939888762760713,0.06280408293058826,0.7098263925664318,0.03615527159130083
55,0.7190374837480105,0.04650407540553292,0.6959090880366916,0.060959865656178835,0.7119030113885474,0.03507096246356012
56,0.720214594862469,0.046086398861761246,0.6979992021692352,0.058592453819493184,0.7139276269603331,0.03580724736351015
57,0.7213447727540563,0.044470984327537155,0.6998181354420203,0.056444454309621195,0.7154903166836241,0.03575925141152703
58,0.7229485342057508,0.042696685956398195,0.702279491450892,0.05669819069769155,0.7174810063902571,0.03462538346407318
59,0.7243691659071848,0.04260663433897438,0.7040435165079331,0.05800099819812876,0.7191258929889635,0.034451201586674474
60,0.7254764016097243,0.04210359325779611,0.7062209178220882,0.056498635115430074,0.7202303590406464,0.034789323666708394
61,0.7272602438275257,0.04195538241680308,0.7075101384665374,0.056849517091332125,0.7219617892898593,0.032634053598891266
62,0.7283246587900488,0.040449038203778764,0.70904460306995,0.05700414623978145,0.7231428302703257,0.03281657367204205
63,0.7292717864018627,0.039406363602156436,0.7106062629793997,0.05601527417966068,0.7242593393422476,0.03238641478525428
64,0.7306568511883454,0.039055512818778504,0.7116629169818564,0.055006822470718864,0.7255513528642232,0.03293994991447047
65,0.731604381066325,0.038132927827567054,0.7133161193525286,0.05476905450782099,0.7266876326088749,0.033741247243126105
66,0.7326502559500918,0.03578122015867069,0.7146983922793281,0.05580816884875739,0.7278964190155414,0.03445606518030342
67,0.7335316274366998,0.03667969964649975,0.7158943124893526,0.056337118802949226,0.7294852410837606,0.034660766215727556
68,0.7346638379773955,0.035366619941067934,0.7172984090210296,0.05506590746245943,0.7303960639729769,0.035407945053824275
69,0.7358650453306168,0.0346847959810338,0.7181711444604767,0.053973043679547916,0.7316630891971508,0.0364442891170923
70,0.7370037918089501,0.03483605440487991,0.7193291324646487,0.05368629110326317,0.7328198079091864,0.036365253438866874
71,0.7381040657981646,0.033994121031563296,0.7201986533592633,0.052927239956672256,0.7339728372718176,0.03459836089940993
72,0.7388838027685514,0.032744925292951144,0.7212438666118413,0.05173777547101899,0.7350161254035817,0.03392300367143608
73,0.7398515401270341,0.03162993766606914,0.7222511109723639,0.050771892768127325,0.736291473218078,0.032578118753619933
74,0.7406770700850084,0.031572779476236934,0.723155785323892,0.05002883016789794,0.7373163290381374,0.03261165399727772
75,0.7417263023458295,0.031192713746999168,0.7239845037679767,0.04903525487115512,0.7384441485416671,0.03077807113753417
76,0.7426584272278485,0.030892683629696882,0.7244563492717407,0.04917907896722884,0.7395295908021133,0.02928026995207411
